search URL:,"https://patents.google.com/?q=compounds&q=following&q=materials&q=sodium&q=siliconate&country=RU,US&before=publication:20101228&status=APPLICATION&language=RUSSIAN,ENGLISH&scholar&sort=new&clustered=false"
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link
US20090000520A1,"Water-soluble completely inorganic alkali-metal silicate composition, aqueous solution containing water-soluble completely inorganic alkali-metal silicate composition, water-soluble coating agent, aqueous solution containing water-soluble coating agent, completeley inorganic colored coating material, binder for high heat-resistant coating material and a method of using water-soluble completely inorganic alkali-metal silicate compound ",Trade Service Corporation,Katsumi Kishimoto,2007-06-21,2008-06-18,2009-01-01,,https://patents.google.com/patent/US20090000520A1/en
US20100203336A1,"Roofing granules with high solar reflectance, roofing products with high solar reflectance, and processes for preparing same ","Ming Liang Shiao, Hong Keith C, Stephens Walter T","Ming Liang Shiao, Keith C. Hong, Walter T. Stephens",2007-05-24,2008-05-23,2010-08-12,,https://patents.google.com/patent/US20100203336A1/en
US20100127203A1,Inorganic foams ,Basf Se,"Tatiana Ulanova, Armin Alteheld, Klaus Hahn, Patrick Deck, Meik Ranft, Frank Heilmann",2007-04-25,2008-04-23,2010-05-27,,https://patents.google.com/patent/US20100127203A1/en
US20080257218A1,"Light Weight Additive, Method of Making and Uses Thereof ","Hamid Hojaji, Caidian Luo, Ma Liyan","Hamid Hojaji, Caidian Luo, Liyan MA",2007-04-16,2008-04-16,2008-10-23,,https://patents.google.com/patent/US20080257218A1/en
US20100119850A1,Coating compositions for metal substrates ,Akzo Nobel Coating Internatinal B.V.,"Victoria Browne, Paul Anthony Jackson, Alistair James Reid, Peter Harry Johan Greenwood",2007-04-19,2008-04-16,2010-05-13,,https://patents.google.com/patent/US20100119850A1/en
US20100151542A1,Cleaning Enzymes and Fragrance Production ,"Mcauliffe Joseph C, Jorn Dalgaard Mikkelsen, Poulose Ayrookaran J, Jorn Borch Soe","Joseph C. McAuliffe, Jorn Dalgaard Mikkelsen, Ayrookaran J. Poulose, Jorn Borch Soe",2007-02-27,2008-02-27,2010-06-17,,https://patents.google.com/patent/US20100151542A1/en
US20100204079A1,Cleaning Enzymes and Malodor Prevention ,"Mcauliffe Joseph C, Jorn Dalgaard Mikkelsen, Poulose Ayrookaran J, Jorn Borch Soe","Joseph C. McAuliffe, Jorn Dalgaard Mikkelsen, Ayrookaran J. Poulose, Jorn Borch Soe",2007-02-27,2008-02-27,2010-08-12,,https://patents.google.com/patent/US20100204079A1/en
US20100043673A1,Concrete compositions ,Lafarge,"Jean-François Batoz, Mouloud Behloul, Philippe Fonollosa",2007-01-24,2008-01-23,2010-02-25,,https://patents.google.com/patent/US20100043673A1/en
US20090178211A1,"Fabric color restoration composition, article, and method ","Errol Hoffman Wahl, Michele Ann Watkins, Jodi Lee Brown, Gayle Marie Frankenbach, Brent Michael Heist","Errol Hoffman Wahl, Michele Ann Watkins, Jodi Lee Brown, Gayle Marie Frankenbach, Brent Michael Heist",2008-01-11,2008-01-11,2009-07-16,,https://patents.google.com/patent/US20090178211A1/en
US20090178212A1,"Fabric color restoration composition, article, and method ","Errol Hoffman Wahl, Michele Ann Watkins, Jodi Lee Brown, Gayle Marie Frankenbach, Brent Michael Heist","Errol Hoffman Wahl, Michele Ann Watkins, Jodi Lee Brown, Gayle Marie Frankenbach, Brent Michael Heist",2008-01-11,2008-01-11,2009-07-16,,https://patents.google.com/patent/US20090178212A1/en
US20100010120A1,"Use of a rheological additive in the manufacture by vibrocompaction of a water and hydraulic binder based formulation, formulation obtained ",Coatex S.A.S.,"Yves Kensicher, David Platel",2007-01-09,2007-11-28,2010-01-14,,https://patents.google.com/patent/US20100010120A1/en
US20080107815A1,Preparation Of Aqueous Dispersions Of Organopolysiloxanes ,Wacker Chemie Ag,"Otto Schneider, Uwe Scheim",2006-11-08,2007-11-07,2008-05-08,,https://patents.google.com/patent/US20080107815A1/en
US20080261024A1,Silica-based coating composition and its use for coating cement-bonded objects ,"Constantinos Xenopoulos, Vincent Teissier, Emmanuel Fourdin","Constantinos Xenopoulos, Vincent Teissier, Emmanuel Fourdin",2006-11-07,2007-10-29,2008-10-23,,https://patents.google.com/patent/US20080261024A1/en
US20100247407A1,"Highly acidic compositions comprising zirconium and silicon oxides and an oxide of at least one other element selected from among titanium, aluminum, tungsten, molybdenum, cerium, iron, tin, zinc, and manganese ","Rhodia Operations, Magnesium Elektron Limited","Olivier Larcher, Emmanuel Rohart, Stephan Verdier, Heather Bradshaw, Clive Butler, Deborah Harris, Mairead Feeley, Guillaume Criniere",2006-10-20,2007-10-19,2010-09-30,,https://patents.google.com/patent/US20100247407A1/en
US20100247411A1,"Highly acidic compositions comprising zirconium oxide, titanium oxide and tungsten oxide and treatment of exhaust gases therewith ","Rhodia Operations, Magnesium Elektron Limited","Olivier Larcher, Emmanuel Rohart, Stephan Verdier, Heather Bradshaw, Clive Butler, Deborah Harris, Mairead Feeley, Hazel Stephenson",2006-10-20,2007-10-19,2010-09-30,,https://patents.google.com/patent/US20100247411A1/en
US20080087199A1,Cement shrinkage reducing agent and method for obtaining cement based articles having reduced shrinkage ,Ellis Gartner,Ellis Gartner,2006-10-10,2007-10-09,2008-04-17,,https://patents.google.com/patent/US20080087199A1/en
US20090305019A1,Concrete composition with reduced shrinkage ,Lafarge,"Gilles Chanvillard, Sandra Boivin, Jean-Philippe Thierry, Frederic Guimbal, Denis Garcia",2006-09-20,2007-09-19,2009-12-10,,https://patents.google.com/patent/US20090305019A1/en
US20090061246A1,Photocatalytic Coating ,"Millennium Inorganic Chemicals, Inc.","Julie Elizabeth Maltby, Claire Bygott",2007-08-31,2007-08-31,2009-03-05,,https://patents.google.com/patent/US20090061246A1/en
US20080041105A1,Method of surface modification for the reduction of trace component dissolution ,"Carl Hahn, Mcguffin Daralyn, Kurt Ginsel, Doug Mittlesteadt, Heath Burns, Mathews Thundyil","Carl Hahn, Daralyn McGuffin, Kurt Ginsel, Doug Mittlesteadt, Heath Burns, Mathews Thundyil",2006-08-11,2007-08-09,2008-02-21,,https://patents.google.com/patent/US20080041105A1/en
US20090196791A1,Method For Protecting Substrate ,Shiro Ogata,Shiro Ogata,2006-07-25,2007-07-23,2009-08-06,,https://patents.google.com/patent/US20090196791A1/en
US20070248837A1,Elastomeric Emulsion Polymers For Masonry Coatings ,"Noveon, Inc.","Shui-Jen Raymond Hsu, Elizabeth Blankschaen",2006-04-21,2007-04-20,2007-10-25,,https://patents.google.com/patent/US20070248837A1/en
US20070155641A1,Aircraft Cleaner Formula ,Spray Nine Corporation,Claudia Britton,2005-01-21,2007-03-15,2007-07-05,,https://patents.google.com/patent/US20070155641A1/en
US20090061104A1,Method for Protecting Substrate ,Shiro Ogata,Shiro Ogata,2006-02-10,2007-02-01,2009-03-05,,https://patents.google.com/patent/US20090061104A1/en
US20090176094A1,"Fibre Modified By Application Of An Organosiliconate Agent, A Fibre Modifying Agent Comprising An Organosilikonate and A Method of Modifying A Fibre With Said Agent ",Kao Corporation,"Keigo Suzuki, Seiichi Miyanaga",2005-12-28,2006-12-26,2009-07-09,,https://patents.google.com/patent/US20090176094A1/en
US20070173423A1,Method and device for fragrancing and fabric treatment in a clothes dryer ,"Vermeer Robert C, Scherr Elliot M, Fuller Robert L, Earle Ellis, Munirhusein Adat, O'leary Nicholas, Sandra Barvaux","Robert Vermeer, Elliot Scherr, Robert Fuller, Earle Ellis, Munirhusein Adat, Nicholas O'Leary, Sandra Barvaux",2004-06-29,2006-12-19,2007-07-26,,https://patents.google.com/patent/US20070173423A1/en
US20070178133A1,"Medical device, materials, and methods ","Liquidia Technologies, Inc.",Jason Rolland,2005-11-09,2006-11-09,2007-08-02,,https://patents.google.com/patent/US20070178133A1/en
US20070036906A1,Silicon-containing treatments for solid substrates ,Reeve John A,John Reeve,2003-08-13,2006-10-24,2007-02-15,,https://patents.google.com/patent/US20070036906A1/en
US20080097018A1,Depolluting coating composition ,John Stratton,John Stratton,2006-10-18,2006-10-18,2008-04-24,,https://patents.google.com/patent/US20080097018A1/en
US20080060778A1,Binder composition and method of forming foundry sand cores and molds ,"Abraham Velasco-Tellez, Salvador Valtierra-Gallardo, Gilberto Garcia, Alberto Esquivel-Herrera, Satish Jhaveri","Abraham Velasco-Tellez, Salvador Valtierra-Gallardo, Gilberto Garcia, Alberto Esquivel-Herrera, Satish Jhaveri",2006-09-08,2006-09-08,2008-03-13,,https://patents.google.com/patent/US20080060778A1/en
US20080286474A1,Hydrophobing Minerals and Filler Materials ,Pierre Maurice Chevalier,Pierre Maurice Chevalier,2005-07-15,2006-07-13,2008-11-20,,https://patents.google.com/patent/US20080286474A1/en
US20090297407A1,Structure and catalytic filter for filtering a gas comprising a hydrophobic or oleophobic cement ,Saint-Gobain Centre De Recherches Et D'etudes Europeen,"Partricia Andy, Anthony Briot, Sebastien Bardon, Caroline Tardivat",2005-06-14,2006-06-13,2009-12-03,,https://patents.google.com/patent/US20090297407A1/en
US20080167487A1,Process for Preparing Diorganopolysiloxanes ,Wacker Chemie Ag,"Oliver Schaefer, Sandra Bachmaier",2005-05-18,2006-05-11,2008-07-10,,https://patents.google.com/patent/US20080167487A1/en
US20060247349A1,"Process for producing flowable, crosslinkable polyorganosiloxane compositions comprising reinforcing filler ",Wacker Chemie Ag,"Georg Kollmann, Friedrich Sieglhuber",2005-04-28,2006-04-26,2006-11-02,,https://patents.google.com/patent/US20060247349A1/en
US20090211491A1,"Solution Or Dispersion For Base Surface Treatment Containing Titanium Oxide Doped With Metal Element, Method Of Treating Base Surface With The Liquid, And Surface-Treated Material Obtained By the Method ","Shiro Ogata, Isamu Sunaga, Masakado Kennoki, Naohiro Muramoto, Shunji Kitazato","Shiro Ogata, Isamu Sunaga, Masakado Kennoki, Naohiro Muramoto, Shunji Kitazato",2005-04-22,2006-04-21,2009-08-27,,https://patents.google.com/patent/US20090211491A1/en
US20060205237A1,Preparation of semiconductor device ,"Shin-Etsu Chemical Co, Ltd.","Kinya Kodama, Tsutomu Kashiwagi, Katsuyuki Imazawa",2005-03-10,2006-02-24,2006-09-14,,https://patents.google.com/patent/US20060205237A1/en
US20090027603A1,Low Surface Energy Polymeric Material for Use in Liquid Crystal Displays ,"Samulski Edward T, Joette Russell Tanner, Ginger Denison Rothrock","Edward T. Samulski, Joette Russell Tanner, Ginger Denison Rothrock",2005-02-03,2006-02-03,2009-01-29,,https://patents.google.com/patent/US20090027603A1/en
US20060107876A1,Glycol-functional siloxane mixture ,Wacker-Chemie Gmbh,"Frank Sandmeyer, Georg Loessel, Dieter Gerhardinger",2004-11-25,2005-11-18,2006-05-25,,https://patents.google.com/patent/US20060107876A1/en
US20070028809A1,Water repellant gypsum compositions ,Wacker Chemical Corporation,Richard Kirkpatrick,2005-08-08,2005-08-08,2007-02-08,,https://patents.google.com/patent/US20070028809A1/en
US20060124553A1,Method of preventing or reducing aluminosilicate scale in high level nuclear wastes ,"Taylor Matthew L, Chen Haunn-Lin T, Spitzer Donald P, Heitner Howard I","Matthew Taylor, Haunn-Lin Chen, Donald Spitzer, Howard Heitner",2002-07-22,2005-08-04,2006-06-15,,https://patents.google.com/patent/US20060124553A1/en
US20080090004A1,Hydrophobic and Lyophobic Coating ,"Hua Zhang, Robert Norman Lamb","Hua Zhang, Robert Norman Lamb",2004-10-05,2005-07-15,2008-04-17,,https://patents.google.com/patent/US20080090004A1/en
US20080039556A1,"Encapsulated Epoxy-Resin Molding Compound, And Electronic Component Device ","Hitachi Chemical Co., Ltd.","Ryoichi Ikezawa, Hidetaka Yoshizawa, Seiichi Akagi",2004-07-13,2005-07-12,2008-02-14,,https://patents.google.com/patent/US20080039556A1/en
US20060083861A1,"Method of reducing loss in power transmission systems, electrical systems and electronics ",Gedeon Anthony A,Anthony Gedeon,2004-04-24,2005-04-22,2006-04-20,,https://patents.google.com/patent/US20060083861A1/en
US20080011195A1,Coating Composition ,"Peter Grochal, Werner Duttlinger, Michael Troll, Josef Ermuth","Peter Grochal, Werner Duttlinger, Michael Troll, Josef Ermuth",2004-06-04,2005-04-06,2008-01-17,,https://patents.google.com/patent/US20080011195A1/en
US20050170996A1,Composition for use in the laundering or treatment of fabrics ,The Procter & Gamble Company,"Kevin Blyth, Andrew Graydon, Nathalie Letzelter, Glenn Ward, Kevin Kott",2004-02-03,2005-02-03,2005-08-04,,https://patents.google.com/patent/US20050170996A1/en
US20070167551A1,Coating composition having surface depolluting properties ,Millennium Chemicals,"Graham Goodwin, John Stratton, Robert McIntyre",2004-01-30,2005-01-19,2007-07-19,,https://patents.google.com/patent/US20070167551A1/en
US20050150417A1,Aqueous composition for rendering a substrate hydrophobic ,Jacques Vionnet,"Pierre Hirsbrunner, Ian Horman",2001-04-17,2005-01-12,2005-07-14,,https://patents.google.com/patent/US20050150417A1/en
US20070275255A1,Curable Siloxane Composition With Modified Surface Properties ,"Ge Bayer Silicones Gmbh & Co., Kg","Marco Ooms, Jos Delis, Pierre Leveque",2003-12-23,2004-12-22,2007-11-29,,https://patents.google.com/patent/US20070275255A1/en
US20050249955A1,Method of treating surfaces for self-sterilization and microbial growth resistance ,"Gedeon Anthony A, Andrew Greig","Anthony Gedeon, Andrew Greig",2003-12-16,2004-12-16,2005-11-10,,https://patents.google.com/patent/US20050249955A1/en
US20050153077A1,Method of resisting contaminant build up and oxidation of vehicle surfaces and other surfaces ,Anthony Gedeon,"Anthony Gedeon, Arthur Gedeon, N. Greig",2003-12-03,2004-12-03,2005-07-14,,https://patents.google.com/patent/US20050153077A1/en
US20050154385A1,Electrosurgical instrument ,"Heim Warren P., Brassell James L., Michael Olichney","Warren Heim, James Brassell, Michael Olichney",2003-11-10,2004-11-10,2005-07-14,,https://patents.google.com/patent/US20050154385A1/en
US20060088563A1,Use of spray adjuvant to enhance the movement of pesticides through plant canopies to the target ,Board Of Trustees Of Michigan State University,Donald Penner,2004-10-25,2004-10-25,2006-04-27,,https://patents.google.com/patent/US20060088563A1/en
US20060079430A1,Methods for treating glassware surfaces using corrosion protection agents ,"Berger Patricia S, Song Brian X, Schwartz James R, Corkery Robert W","Patricia Berger, Brian Song, James Schwartz, Robert Corkery",2004-10-12,2004-10-12,2006-04-13,,https://patents.google.com/patent/US20060079430A1/en
US20050153868A1,Corrosion protection agents for treating glassware surfaces ,The Procter & Gamble Company,"Patricia Berger, Brian Song, James Schwartz, Robert Corkery",2003-10-16,2004-10-12,2005-07-14,,https://patents.google.com/patent/US20050153868A1/en
US20050080161A1,"Cementing fluid for enhancing the stability of a water sensitive, reactive subterranean formation ","Halliburton Energy Services, Inc.","Uday Tare, James Heathman, Krishna Ravi",2002-11-15,2004-10-01,2005-04-14,,https://patents.google.com/patent/US20050080161A1/en
US20080003367A1,Composition Useful for Providing Nox Removing Coating On Material Surface ,John Stratton,John Stratton,2004-09-14,2004-09-14,2008-01-03,,https://patents.google.com/patent/US20080003367A1/en
US20050032645A1,Compositions and methods for protecting cultivated plants from herbicidal injury ,"Board Of Trustees Of Michigan State University, Dow Corning Corporation","Donald Penner, Christy Sprague, Richard Burow",1998-07-16,2004-09-10,2005-02-10,,https://patents.google.com/patent/US20050032645A1/en
US20050015888A1,Wrinkle resistant composition ,The Procter & Gamble Company,"Markus Altmann, Bruno Hubesch, Els Goossens, Heidi Simonne Soyez",1999-10-27,2004-08-24,2005-01-27,,https://patents.google.com/patent/US20050015888A1/en
US20050003995A1,"Peroxide-comprising polyorganosiloxanes (POS), one of their processes of preparation and their uses, in particular as bleaching agent in dental compositions ","Adrien Dromard, Gerard Mignani, Lucile Gambut, Frederic Dallemer","Adrien Dromard, Gerard Mignani, Lucile Gambut, Frederic Dallemer",1998-12-09,2004-07-23,2005-01-06,,https://patents.google.com/patent/US20050003995A1/en
US20060269506A1,Personal care applications of emulsions containing elastomeric silanes and siloxanes with nitrogen atoms ,Dow Corning Corporation,"Julie De Caire, Bethany Johnson, Michael Lafore, Zuchen Lin",2003-05-16,2004-04-15,2006-11-30,,https://patents.google.com/patent/US20060269506A1/en
US20050229519A1,System using a drywall board and a jointing compound ,"Elizabeth Colbert, Bingaman Andrew B, Marc Domenech, Pierre Gagne, O'connor Kenneth B, Goran Hedman, Stuart Jacquet","Elizabeth Colbert, Andrew Bingaman, Marc Domenech, Pierre Gagne, Kenneth O'Connor, Goran Hedman, Stuart Jacquet",2004-04-14,2004-04-14,2005-10-20,,https://patents.google.com/patent/US20050229519A1/en
US20050246993A1,System using a drywall board and a jointing compound ,"Elizabeth Colbert, Bingaman Andrew B, Marc Domenech, Pierre Gagne, O'connor Kenneth B, Goran Hedman, Stuart Jacquet","Elizabeth Colbert, Andrew Bingaman, Marc Domenech, Pierre Gagne, Kenneth O'Connor, Goran Hedman, Stuart Jacquet",2004-04-13,2004-04-13,2005-11-10,,https://patents.google.com/patent/US20050246993A1/en
US20060193805A1,Method of preparing emulsions containing elastomeric silanes and siloxanes having quaternary ammonium groups ,"Bethany Johnson, Lafore Michael R, Donald Liles, Zuchen Lin","Bethany Johnson, Michael Lafore, Donald Liles, Zuchen Lin",2003-05-16,2004-03-25,2006-08-31,,https://patents.google.com/patent/US20060193805A1/en
US20070155622A1,Composition for use nox removing translucent coating ,Millennium Chemicals,"Graham Goodwin, John Stratton, Robert McIntyre",2004-01-30,2004-01-30,2007-07-05,,https://patents.google.com/patent/US20070155622A1/en
US20040227124A1,Monocarboxylic acid based antifreeze composition ,Ashland Inc.,"David Turcotte, Michael Dituro, Arnold Coffey, Alden Olsen, Carl Stephens",2001-05-08,2004-01-12,2004-11-18,,https://patents.google.com/patent/US20040227124A1/en
US20040120876A1,"Surface-modified, aerogel-type structured silica ",Degussa Ag,"Jurgen Meyer, Horst Zeizinger, Manfred Ettlinger, Hans-Dieter Christian",2002-12-18,2003-12-11,2004-06-24,,https://patents.google.com/patent/US20040120876A1/en
US20040121926A1,Automatic dishwashing detergent composition comprising encapsulated glasscare active salt ,"Waits Leslie Dawn, Brooker Anju Deepali-Massey","Leslie Waits, Anju Brooker",2002-11-14,2003-11-14,2004-06-24,,https://patents.google.com/patent/US20040121926A1/en
US20040092660A1,Process for the preparation of organopolysiloxane resin ,Wacker-Chemie Gmbh,"Thomas Koehler, Manfred Meisenberger, Wolfgang Ackermann",2002-09-12,2003-09-05,2004-05-13,,https://patents.google.com/patent/US20040092660A1/en
US20040013857A1,Edge sealant formulation for wood-based panels ,Weyerhaeuser Company,"Jack Winterowd, Charles Lewis, Jerry Izan, Roger Shantz",1999-07-20,2003-06-24,2004-01-22,,https://patents.google.com/patent/US20040013857A1/en
US20040259981A1,Sealant coating for stucco and method of production thereof ,Krog H. Dale,H. Krog,2003-06-23,2003-06-23,2004-12-23,,https://patents.google.com/patent/US20040259981A1/en
US20040245494A1,Dust-reducing compositions for treating dry soil ,"Ian Horman, Pierre Hirsbrunner, Franz Kohler","Ian Horman, Pierre Hirsbrunner, Franz Kohler",2003-06-04,2003-06-04,2004-12-09,,https://patents.google.com/patent/US20040245494A1/en
US20060099397A1,Ceramic moulded body comprising a photocatalytic coating and method for producing the same ,Erlus Aktiengesellschaft,"Axel Thierauf, Eduard Gast, Friederike Bauer",2002-05-29,2003-05-28,2006-05-11,,https://patents.google.com/patent/US20060099397A1/en
US20040209074A1,Mat faced gypsum board ,Georgia-Pacific Gypsum Corporation,"Brian Randall, Russell Smith",2003-04-17,2003-04-17,2004-10-21,,https://patents.google.com/patent/US20040209074A1/en
US20030203191A1,Mat-faced gypsum board ,Georgia-Pacific Gypsum Corporation,"Brian Randall, Gary Ricards",2001-04-19,2003-02-21,2003-10-30,,https://patents.google.com/patent/US20030203191A1/en
US20040123985A1,Method for drilling depleted sands with minimal drilling fluid loss ,"Whitfill Donald L., Pober Kenneth W., Carlson Thomas R., Tare Uday A., Fisk James V., Billingsley Joe L.","Donald Whitfill, Kenneth Pober, Thomas Carlson, Uday Tare, James Fisk, Joe Billingsley",2002-12-31,2002-12-31,2004-07-01,,https://patents.google.com/patent/US20040123985A1/en
US20030144449A1,Preparation of linear organosiloxane polymers ,"Hiroshi Nakayama, Masao Maruyama, Hiromi Nakabayashi, Masaaki Furuya, Tetsuo Nakanishi","Hiroshi Nakayama, Masao Maruyama, Hiromi Nakabayashi, Masaaki Furuya, Tetsuo Nakanishi",2001-12-17,2002-12-17,2003-07-31,,https://patents.google.com/patent/US20030144449A1/en
US20030209686A1,Articles to aid the ironing of fabrics and methods of use ,The Procter & Gamble Company,"Gayle Frankenbach, Toan Trinh, Mary Barnabas, Alessandro Corona, John Shaw, John Smith, Donald Brown, Timothy Nijakowski, Bruno Albert Jean Hubesch, Gabrielle Holly Spangler Detzel, Todd Alwart, Anne Candido, Stephan Bush, Dimitris Collias, Ellis Gregg, Earl Bray",2000-02-14,2002-12-02,2003-11-13,,https://patents.google.com/patent/US20030209686A1/en
US20040102570A1,Method of making emulsion containing quaternary ammonium functional silanes and siloxanes ,"Johnson Bethany K., Zuchen Lin","Bethany Johnson, Zuchen Lin",2002-11-27,2002-11-27,2004-05-27,,https://patents.google.com/patent/US20040102570A1/en
US20030211305A1,Interior wallboard and method of making same ,Gp Gypsum Corporation,"Francis Koval, David Neal, Richard Silversides, Joseph Riccio, Charles Raymond, Felmer Cummins",2002-05-08,2002-09-18,2003-11-13,,https://patents.google.com/patent/US20030211305A1/en
US20040038065A1,Gypsum board having polyvinyl alcohol binder in interface layer and method for making the same ,G-P Gypsum Corporation,"Hubert Francis, Anne Ksionzyk, Fabio Esguerra",2002-08-21,2002-08-21,2004-02-26,,https://patents.google.com/patent/US20040038065A1/en
